Model,Registration,TTAF,Price,Engine Hours,Maintenance Plan
2001 Gulfstream G-IVSP,,"4,280",Inquire,,
1988 Gulfstream G-IV,N450MS,"9,990","$   3,950,000",,
1999 Gulfstream G-IVSP,N302SB,"6,590",Inquire,,
1997 Gulfstream G-IVSP,N44GV,"7,726",Inquire,,
2007 Gulfstream G450,N717DX,"3,983","$   12,200,000",,
1992 Gulfstream G-IVSP,,"9,420",Inquire,,
1999 Gulfstream G-IVSP,,"7,900",Inquire,,
1996 Gulfstream G-IVSP,N974JD,"8,790","$   4,750,000",,
1996 Gulfstream G-IVSP,N974JD,"8,790","$   4,750,000",,
2000 Gulfstream G-IVSP,N30JE,"5,313",Inquire,,
1999 Gulfstream G-IVSP,N945GS,"8,224","$   5,250,000",,
1990 Gulfstream G-IV,N930LS,"9,277",Inquire,,
1993 Gulfstream G-IVSP,N257H,"8,384","$   3,900,000",,
1993 Gulfstream G-IVSP,N268VT,"14,250",Inquire,,
1996 Gulfstream G-IVSP,N925JS,"9,059","$   3,295,000",,
1988 Gulfstream G-IV,N1086,"9,653","$   3,995,000",,
1997 Gulfstream G-IVSP,N137WS,"7,609","$   4,595,000",,
2011 Gulfstream G450,N175BL,"2,118",Inquire,,
2013 Gulfstream G450,N440MB,"1,750",Inquire,,
1999 Gulfstream G-IVSP,N4818C,"6,255",Inquire,,
1992 Gulfstream G-IVSP,N315MK,"9,757",Inquire,,
2000 Gulfstream G-IV,N702TY,"7,255",Inquire,,
1988 Gulfstream G-IV,N515JA,"16,016",Inquire,,
1999 Gulfstream G-IVSP,N945GS,"8,564",Inquire,,
1990 Gulfstream G-IV,N41SC,"8,219",Inquire,,
1990 Gulfstream G-IV,N820MS,"8,904","$   3,495,000",,
1988 Gulfstream G-IV,N21FJ,"8,980",Inquire,,
1991 Gulfstream G-IV,N600CK,"10,641","$   2,250,000",6451 Hrs.,
1987 Gulfstream G-IV,N772AV,"9,546",Inquire,,
2001 Gulfstream G-IVSP,N551CB,"5,559","$   5,950,000",,
1999 Gulfstream G-IVSP,N707TE,"9,260",Inquire,,
2002 Gulfstream G-IVSP,VP,"4,002",Inquire,,
2006 Gulfstream G450,N937BG,"3,966","$   11,380,000",,
1994 Gulfstream G-IVSP,N16DJ,"4,189",Inquire,,
1995 Gulfstream G-IVSP,N30DJ,"9,059",Inquire,,
1993 Gulfstream G-IVSP,N269VT,"14,485",Inquire,,
1999 Gulfstream G-IVSP,N30JE,"5,334",Inquire,,
1999 Gulfstream G-IVSP,N721RL,"6,185",Inquire,,
1996 Gulfstream G-IVSP,N961V,"9,700",Inquire,,
2005 Gulfstream G200,N888NS,"2,796",Inquire,,
1993 Gulfstream G-IV,N56L,"10,873",Inquire,,
1989 Gulfstream G-IV,N167AA,"10,210","$   3,695,000",,
1999 Gulfstream G-IVSP,N396NS,"9,131",Inquire,,
1994 Gulfstream G-IVSP,N999NB,"6,661",Inquire,,
1999 Gulfstream G-IVSP,N348DJ,"6,798",Inquire,,
1992 Gulfstream G-IVSP,N315MK,"9,840",Inquire,,
2000 Gulfstream G-IVSP,N407NS,"9,788",Inquire,,
1989 Gulfstream G-IV,N13SA,"7,036","$   1,500,000",,
1993 Gulfstream G-IVSP,N96JA,"9,504","$   4,200,000",,
1990 Gulfstream G-IV,N605CM,"11,817",Inquire,,
2005 Gulfstream G200,,"5,016",Inquire,,
2008 Gulfstream G200,,"6,132",Inquire,,
1989 Gulfstream G-IV,,,Inquire,,
2000 Gulfstream G-IVSP,N799CP,"5,349",Inquire,,
1981 Gulfstream G-III,N111FU,"10,397",Inquire,,
2000 Gulfstream G-IVSP,N450EF,"8,702","$   5,295,000",,
1989 Gulfstream G-IV,XA,"9,263","$   2,750,000",,
1999 Gulfstream G-IVSP,,,,,
1998 Gulfstream G-IVSP,N970KG,"5,175","$   5,395,000",,
1999 Gulfstream G-IVSP,,,,,
1999 Gulfstream G-IVSP,N595PE,"5,978","$   1,995,000",481 Hrs.,
2009 Gulfstream G450,N48PL,"2,793","$   14,495,000",,
1992 Gulfstream G-IV,N671AF,"8,181","$   2,800,000",,
1999 Gulfstream G-IVSP,,,,,
1990 Gulfstream G-IV,N77WL,"13,000","$   2,100,000",,
2000 Gulfstream G-IVSP,,,,,
1999 Gulfstream G-IVSP,,,,,
1996 Gulfstream G-IV,,,Inquire,,
1998 Gulfstream G-IVSP,,,,,
1996 Gulfstream G-IV,N213EF,,"$   2,500,000",,
1992 Gulfstream G-IV,N102LV,"3,893",Inquire,,
2000 Gulfstream G-IVSP,N9106,"7,548",Inquire,,
2008 Gulfstream G200,N881ST,"1,576","$   5,995,000",,
2010 Gulfstream G450,,"2,604",Inquire,,
2010 Gulfstream G450,N555LR,"4,283",Inquire,,
1989 Gulfstream G-IV,N189J,"13,300","$   2,450,000",,
1984 Gulfstream G-III,N467AM,"8,907","$   600,000",,
1991 Gulfstream G-IV,XA,"8,703",Inquire,,
1994 Gulfstream G-IVSP,N700MV,"12,050","$   3,000,000",,
2008 Gulfstream G450,N59AP,"2,072",Inquire,,
1987 Gulfstream G-IV,N772AV,"9,546",Inquire,,
2008 Gulfstream G450,N59AP,"2,072","$   11,900,000",,
2002 Gulfstream G-IVSP,N154C,"6,832","$   5,600,000",,
2006 Gulfstream G450,N450KR,"3,922",Inquire,,
2012 Gulfstream G450,,"3,726",Inquire,,
1996 Gulfstream G-IVSP,N999AA,"10,725",Inquire,,
1999 Gulfstream G-IVSP,N489VR,"14,202","$   3,395,000",,
1987 Gulfstream G-IV,N929SD,"12,862","$   3,950,000",,
1993 Gulfstream G-IVSP,N874C,"13,380",Inquire,,
1989 Gulfstream G-IV,N763DB,"13,535",Inquire,,
1999 Gulfstream G-IVSP,N595PB,"5,978",Inquire,,
2001 Gulfstream G-IVSP,N357PR,"2,903",Inquire,,
2014 Gulfstream G450,C,"1,551","$   14,950,000",,
1997 Gulfstream G-IVSP,N850LF,"9,570",Inquire,,
1991 Gulfstream G-IV,N218KD,"9,535",Inquire,,
2001 Gulfstream G-IVSP,N950LG,"8,129",Inquire,,
1991 Gulfstream G-IV,N917W,"15,657",Inquire,,
2000 Gulfstream G-IVSP,N724DB,"5,848","$   6,500,000",,
2000 Gulfstream G-IVSP,N991NB,"5,174",Inquire,,
1997 Gulfstream G-IVSP,N1LW,"8,606",Inquire,,
1992 Gulfstream G-IVSP,N110SN,"11,292",Inquire,,
1988 Gulfstream G-IV,N48GL,"13,281",Inquire,,
2000 Gulfstream G-IVSP,N450EF,"9,639",Inquire,,
1996 Gulfstream G-IVSP,N526EE,"13,960",Inquire,,
1999 Gulfstream G-IVSP,N489VR,"14,202",Inquire,,
1987 Gulfstream G-IV,N772AV,"9,546",Inquire,,
2002 Gulfstream G-IVSP,,"9,456",Inquire,,
1990 Gulfstream G-IV,N18TD,"8,053",Inquire,,
1995 Gulfstream G-IVSP,N432HC,"15,651","$   2,295,000",654 Hrs.,
1988 Gulfstream G-IV,N177BB,"17,202",Inquire,,
1995 Gulfstream G-IVSP,,"10,737",Inquire,,
1992 Gulfstream G-IV,N403TB,"10,728","$   3,450,000",,
1999 Gulfstream G-IVSP,N616RR,"8,420","$   4,750,000",,
1990 Gulfstream G-IV,N41SC,"8,274",Inquire,,
1997 Gulfstream G-IVSP,N999SE,"8,240",Inquire,,
2014 Gulfstream G450,C,"1,551",Inquire,,
2006 Gulfstream G450,N121GZ,"6,623",Inquire,,
1988 Gulfstream G-IV,N41ZA,"5,094",Inquire,,
1995 Gulfstream G-IVSP,N267LG,"10,750",Inquire,,
1998 Gulfstream G-IVSP,N396U,"8,065",Inquire,,
1987 Gulfstream G-IV,N76EJ,"9,733",Inquire,2933 Hrs.,
1994 Gulfstream G-IVSP,N1904W,"11,766",Inquire,,
1993 Gulfstream G-IVSP,N510SP,"11,847","$   2,550,000",,
1989 Gulfstream G-IV,N457DS,"7,565","$   2,300,000",,
1999 Gulfstream G-IVSP,N480VR,"13,937",Inquire,,
1995 Gulfstream G-IVSP,N445BJ,"10,779",Inquire,,
2001 Gulfstream G-IVSP,N386JD,"5,868",Inquire,,
2008 Gulfstream G450,T7,"4,557",Inquire,,
1997 Gulfstream G-IVSP,N905LP,"8,090",Inquire,,
1999 Gulfstream G-IVSP,N302SB,"7,876",Inquire,,
1989 Gulfstream G-IV,XA,"9,599",Inquire,,
1987 Gulfstream G-IV,N818BA,"9,866",Inquire,,
2010 Gulfstream G450,N945MM,"3,743",Inquire,,
2001 Gulfstream G-IVSP,N445SC,"6,769",Inquire,,
1997 Gulfstream G-IVSP,N910AF,"7,635",Inquire,,
1996 Gulfstream G-IVSP,N974JD,"9,151","$   3,795,000",,
2001 Gulfstream G-IVSP,N207AA,"6,270",Inquire,,
2000 Gulfstream G-IVSP,,"6,147",Inquire,,
2001 Gulfstream G-IVSP,N119FM,"7,418",Inquire,,
1988 Gulfstream G-IV,N200LC,"9,925",Inquire,,
1991 Gulfstream G-IV,N917W,"15,657","$   2,525,000",,
2001 Gulfstream G-IVSP,N474X,"8,223",Inquire,,
1988 Gulfstream G-IV,N794MH,"14,670",Inquire,,
2015 Gulfstream G450,N169TA,856,Inquire,,
1988 Gulfstream G-IV,N823LF,"7,037","$   3,995,000",,
1990 Gulfstream G-IV,N306TT,"6,425",Inquire,,
2002 Gulfstream G-IVSP,N606PS,"10,028",Inquire,,
1994 Gulfstream G-IVSP,N400JZ,"10,192",Inquire,,
1995 Gulfstream G-IVSP,N5GF,"5,915",Inquire,,
1999 Gulfstream G-IVSP,N371FP,"9,324",Inquire,,
1992 Gulfstream G-IVSP,N110SN,"11,795",Inquire,,
1996 Gulfstream G-IVSP,7Q,"14,255",Inquire,487 Hrs.,
2009 Gulfstream G450,N735HC,"3,950",Inquire,,
1992 Gulfstream G-IVSP,N999AH,"9,554",Inquire,,
1995 Gulfstream G-IVSP,N445BJ,"11,055",Inquire,,
1996 Gulfstream G-IVSP,N1925M,"8,433",Inquire,,
1988 Gulfstream G-IV,N998GP,"12,068",Inquire,,
1990 Gulfstream G-IV,N306TT,"6,499",Inquire,,
2020 Gulfstream G500,9H,218,Inquire,,
2013 Gulfstream G450,N273JG,"2,158",Inquire,,
1998 Gulfstream G-IVSP,N905LP,"8,652",Inquire,,
1987 Gulfstream G-IV,,"12,513",Inquire,,
1984 Gulfstream G-III,N467AM,"9,810",Inquire,,
2000 Gulfstream G-IVSP,N9106,"7,926",Inquire,,
1994 Gulfstream G-IVSP,N30GD,"13,098","$   5,500,000",,
1996 Gulfstream G-IVSP,N610GW,"8,290",Inquire,,
2001 Gulfstream G-IVSP,N888CS,"6,041","$   8,995,000",,
1994 Gulfstream G-IVSP,N165JF,"10,948",Inquire,,
2013 Gulfstream G450,S5,"2,446",Inquire,,
1988 Gulfstream G-IV,XA,"13,553",Inquire,573 Hrs.,
1996 Gulfstream G-IVSP,N555LK,"13,487",Inquire,,
2002 Gulfstream G-IVSP,N500PC,"8,729",Inquire,,
1994 Gulfstream G-IVSP,N999TR,"8,829",Inquire,,
2001 Gulfstream G-IVSP,N883LD,"8,901",Inquire,,
2020 Gulfstream GVII,M,358,Inquire,,
2001 Gulfstream G-IVSP,N415MA,"15,275","$   6,995,000",,
1988 Gulfstream G-IV,N163JW,"14,445",Inquire,,
1996 Gulfstream G-IVSP,,"10,304",Inquire,,
2012 Gulfstream G450,N888DC,"4,535","$   16,950,000",,
1994 Gulfstream G-IVSP,,"7,288","$   5,900,000",,
1989 Gulfstream G-IV,N2129,"9,809",Inquire,,
1995 Gulfstream G-IVSP,N147X,"7,796",Inquire,,
1989 Gulfstream G-IV,N763DB,"14,734","$   4,500,000",,
1990 Gulfstream G-IV,N711GL,"18,878","$   3,585,000",,
1990 Gulfstream G-IV,N188SA,,Inquire,,
2007 Gulfstream G450,N470QS,"12,178","$   10,995,000",,
2017 Gulfstream G450,N450FJ,"1,629",Inquire,,
1988 Gulfstream G-IV,N144AB,"13,652",Inquire,,
1994 Gulfstream G-IVSP,N445BJ,"11,055",Inquire,,
1992 Gulfstream G-IVSP,N26DJ,"11,695",Inquire,,
2002 Gulfstream G-IVSP,,"6,473",Inquire,,
2012 Gulfstream G450,N702TR,"2,239",Inquire,,
2014 Gulfstream G450,N451PW,"2,108",Inquire,,
1996 Gulfstream G-IVSP,N555LK,"14,353",Inquire,,
1997 Gulfstream G-IVSP,N137WS,"11,431",Inquire,,
1988 Gulfstream G-IV,N995GG,"12,299","$   3,495,000",,
2006 Gulfstream G450,N358RS,"4,462",Inquire,,
1986 Gulfstream G-IV,N250RG,"10,988","$   2,500,000",,
1995 Gulfstream G-IVSP,N888MF,"9,100","$   3,500,000",753 Hrs.,
1990 Gulfstream G-IV,N306TT,"6,499","$   4,950,000",,
2001 Gulfstream G-IVSP,N923CL,"6,953","$   6,495,000",,
1998 Gulfstream G-IVSP,N450WG,"13,701","$   4,995,000",,
2013 Gulfstream G450,B,"2,133",Inquire,,
1994 Gulfstream G-IVSP,N779LD,"9,876",Inquire,,
1988 Gulfstream G-IV,N995GG,"12,299","$   2,900,000",,
1997 Gulfstream G-IVSP,N427SA,"11,620",Inquire,,
1992 Gulfstream G-IVSP,N999AH,"9,570",Inquire,,
1997 Gulfstream G-IVSP,N817RA,"15,139",Inquire,,
2001 Gulfstream G-IVSP,N502PC,"8,833","$   6,750,000",,
2000 Gulfstream G-IVSP,N401JS,"10,038",Inquire,,
1990 Gulfstream G-IV,N188SA,"14,366","$   3,200,000",,
1999 Gulfstream G-IVSP,N805FT,"10,714",Inquire,,
2001 Gulfstream G-IVSP,N435HC,"6,132",Inquire,,
1989 Gulfstream G-IV,N770KS,"11,894",Inquire,,
2000 Gulfstream G-IVSP,N86MS,"9,260",Inquire,,
1991 Gulfstream G-IV,N57LQ,"10,073","$   3,700,000",,
2016 Gulfstream G450,N904TS,"2,085",Inquire,,
1987 Gulfstream G-IV,XA,"8,736",Inquire,,
1990 Gulfstream G-IV,N400AJ,"9,996",Inquire,,
1992 Gulfstream G-IVSP,N110SN,"12,062",Inquire,,
2010 Gulfstream G450,N814CP,"5,241",Inquire,,
2000 Gulfstream G-IVSP,N408JS,"8,042",Inquire,,
2000 Gulfstream G-IVSP,N401JS,"10,038",Inquire,,
2001 Gulfstream G-IVSP,N424JS,"9,048",Inquire,,
2002 Gulfstream G-IVSP,N410JS,"4,959",Inquire,,
1990 Gulfstream G-IV,M,"19,020",Inquire,,
2001 Gulfstream G-IVSP,N800HH,"12,655",Inquire,,
1995 Gulfstream G-IVSP,N147X,"7,895","$   4,495,000",,
1990 Gulfstream G-IV,N400AJ,"9,996",Inquire,,
2008 Gulfstream G450,N59AP,"3,063",Inquire,,
2002 Gulfstream G-IVSP,N377MG,"8,999",Inquire,,
2013 Gulfstream G450,B,"2,702","$   16,950,000",,
2001 Gulfstream G-IVSP,N218JE,"17,975",Inquire,,
1991 Gulfstream G-IV,N960DP,"11,534",Inquire,,
1999 Gulfstream G-IVSP,N707WE,"7,667",Inquire,,
2014 Gulfstream G450,N450GT,"2,305",Inquire,,
2000 Gulfstream G-IVSP,N86MS,"9,339",Inquire,,
2006 Gulfstream G450,N320JM,"3,826","$   14,995,000",,
2013 Gulfstream G450,N268BB,"3,067","$   15,995,000",,
2012 Gulfstream G450,N450CE,"3,140",Inquire,,
2013 Gulfstream G450,N268B,"3,067","$   15,995,000",,
2002 Gulfstream G-IVSP,N154C,"8,958","$   6,200,000",,
2001 Gulfstream G-IVSP,N228RE,"6,773","$   6,495,000",182 Hrs.,
1994 Gulfstream G-IVSP,N999NB,"7,178","$   4,995,000",,
2007 Gulfstream G450,N555TF,"4,535",Inquire,,
1998 Gulfstream G-IVSP,N60GG,"13,910","$   4,495,000",,
1996 Gulfstream G-IVSP,N999AA,"12,703","$   4,495,000",,
1988 Gulfstream G-IV,N143LP,"12,322",Inquire,,
1997 Gulfstream G-IVSP,N450MB,"16,687",Inquire,,
1996 Gulfstream G-IVSP,N429DD,"13,130",Inquire,,
1995 Gulfstream G-IVSP,N120JJ,"13,910","$   3,495,000",,
2001 Gulfstream G-IVSP,XA,"7,079",Inquire,,
2001 Gulfstream G-IVSP,N800HH,"12,655",Inquire,,
2012 Gulfstream G450,N825SS,"3,212","$   15,950,000",,
1989 Gulfstream G-IV,N770KS,"11,894",Inquire,,
2011 Gulfstream G450,N280BC,"3,861",Inquire,,
2003 Gulfstream G-IVSP,,,Inquire,,
2000 Gulfstream G-IVSP,N86MS,"9,260",Inquire,,
2020 Gulfstream G500,9H,457,Inquire,,
2001 Gulfstream G-IVSP,N435HC,"6,289",Inquire,,
2001 Gulfstream G-IVSP,N145RT,"5,808",Inquire,,
1996 Gulfstream IVSP,,,"USD $3,795,000",,
1998 Gulfstream IVSP,,,"USD $1,950,000",,
2014 Gulfstream G450,,,"USD $19,950,000",,
2012 Gulfstream G450,,,,,
2012 Gulfstream G450,,,,,
2008 Gulfstream G450,,,"USD $16,500,000",,
2008 Gulfstream G450,,,"USD $14,750,000",,
2010 Gulfstream G450,,,"USD $16,500,000",,
2006 Gulfstream G450,,,"USD $16,500,000",,
1994 Gulfstream IVSP,,,,,
2011 Gulfstream G450,,,,,
2004 Gulfstream G400,,,,,
1995 Gulfstream IVSP,,,"USD $4,500,000",,
2008 Gulfstream G450,,,,,
2013 Gulfstream G450,,,,,
2009 Gulfstream G450,,,,,
,,,"USD $895,000",,
2013 Gulfstream G450,,,"USD $12,950,000",,
1986 Gulfstream III,,,,,
2009 Gulfstream G450,,,,,
1988 Gulfstream IV,,,"USD $3,925,000",,
2013 Gulfstream G450,,,"USD $19,995,000",,
1996 Gulfstream IVSP,,,,,
2012 Gulfstream G450,,,"USD $16,950,000",,
2017 Gulfstream G450,,,"USD $18,995,000",,
1998 Gulfstream IVSP,,,"USD $5,995,000",,
1987 Gulfstream IV,,,,,
1988 Gulfstream IV,,,"USD $3,495,000",,
