Model,Registration,TTAF,Price,Engine Hours,manufacture,model,year of manufacture,year_of_manufacture
1989 Gulfstream G-IV,N770KS,11894.0,,,Gulfstream,G-IV,1989,
2000 Gulfstream G-IVSP,N86MS,9260.0,,,Gulfstream,G-IVSP,2000,
1991 Gulfstream G-IV,N57LQ,10073.0,3700000.0,,Gulfstream,G-IV,1991,
2016 Gulfstream G450,N904TS,2085.0,,,Gulfstream,G450,2016,
1987 Gulfstream G-IV,XA,8736.0,,,Gulfstream,G-IV,1987,
1990 Gulfstream G-IV,N400AJ,9996.0,,,Gulfstream,G-IV,1990,
1992 Gulfstream G-IVSP,N110SN,12062.0,,,Gulfstream,G-IVSP,1992,
2010 Gulfstream G450,N814CP,5241.0,,,Gulfstream,G450,2010,
2000 Gulfstream G-IVSP,N408JS,8042.0,,,Gulfstream,G-IVSP,2000,
2000 Gulfstream G-IVSP,N401JS,10038.0,,,Gulfstream,G-IVSP,2000,
2001 Gulfstream G-IVSP,N424JS,9048.0,,,Gulfstream,G-IVSP,2001,
2002 Gulfstream G-IVSP,N410JS,4959.0,,,Gulfstream,G-IVSP,2002,
1990 Gulfstream G-IV,M,19020.0,,,Gulfstream,G-IV,1990,
2001 Gulfstream G-IVSP,N800HH,12655.0,,,Gulfstream,G-IVSP,2001,
1995 Gulfstream G-IVSP,N147X,7895.0,4495000.0,,Gulfstream,G-IVSP,1995,
1990 Gulfstream G-IV,N400AJ,9996.0,,,Gulfstream,G-IV,1990,
2008 Gulfstream G450,N59AP,3063.0,,,Gulfstream,G450,2008,
2002 Gulfstream G-IVSP,N377MG,8999.0,,,Gulfstream,G-IVSP,2002,
2013 Gulfstream G450,B,2702.0,16950000.0,,Gulfstream,G450,2013,
2001 Gulfstream G-IVSP,N218JE,17975.0,,,Gulfstream,G-IVSP,2001,
1991 Gulfstream G-IV,N960DP,11534.0,,,Gulfstream,G-IV,1991,
1999 Gulfstream G-IVSP,N707WE,7667.0,,,Gulfstream,G-IVSP,1999,
2014 Gulfstream G450,N450GT,2305.0,,,Gulfstream,G450,2014,
2000 Gulfstream G-IVSP,N86MS,9339.0,,,Gulfstream,G-IVSP,2000,
2006 Gulfstream G450,N320JM,3826.0,14995000.0,,Gulfstream,G450,2006,
2013 Gulfstream G450,N268BB,3067.0,15995000.0,,Gulfstream,G450,2013,
2012 Gulfstream G450,N450CE,3140.0,,,Gulfstream,G450,2012,
2013 Gulfstream G450,N268B,3067.0,15995000.0,,Gulfstream,G450,2013,
2002 Gulfstream G-IVSP,N154C,8958.0,6200000.0,,Gulfstream,G-IVSP,2002,
2001 Gulfstream G-IVSP,N228RE,6773.0,6495000.0,182 Hrs.,Gulfstream,G-IVSP,2001,
1994 Gulfstream G-IVSP,N999NB,7178.0,4995000.0,,Gulfstream,G-IVSP,1994,
2007 Gulfstream G450,N555TF,4535.0,,,Gulfstream,G450,2007,
1998 Gulfstream G-IVSP,N60GG,13910.0,4495000.0,,Gulfstream,G-IVSP,1998,
1996 Gulfstream G-IVSP,N999AA,12703.0,4495000.0,,Gulfstream,G-IVSP,1996,
1988 Gulfstream G-IV,N143LP,12322.0,,,Gulfstream,G-IV,1988,
1997 Gulfstream G-IVSP,N450MB,16687.0,,,Gulfstream,G-IVSP,1997,
1996 Gulfstream G-IVSP,N429DD,13130.0,,,Gulfstream,G-IVSP,1996,
1995 Gulfstream G-IVSP,N120JJ,13910.0,3495000.0,,Gulfstream,G-IVSP,1995,
2001 Gulfstream G-IVSP,XA,7079.0,,,Gulfstream,G-IVSP,2001,
2001 Gulfstream G-IVSP,N800HH,12655.0,,,Gulfstream,G-IVSP,2001,
2012 Gulfstream G450,N825SS,3212.0,15950000.0,,Gulfstream,G450,2012,
1989 Gulfstream G-IV,N770KS,11894.0,,,Gulfstream,G-IV,1989,
2011 Gulfstream G450,N280BC,3861.0,,,Gulfstream,G450,2011,
2003 Gulfstream G-IVSP,,,,,Gulfstream,G-IVSP,2003,
2000 Gulfstream G-IVSP,N86MS,9260.0,,,Gulfstream,G-IVSP,2000,
2020 Gulfstream G500,9H,457.0,,,Gulfstream,,2020,
2001 Gulfstream G-IVSP,N435HC,6289.0,,,Gulfstream,G-IVSP,2001,
2001 Gulfstream G-IVSP,N145RT,5808.0,,,Gulfstream,G-IVSP,2001,
1996 Gulfstream IVSP,,,,,Gulfstream,IVSP,1996,
1998 Gulfstream IVSP,,,,,Gulfstream,IVSP,1998,
2014 Gulfstream G450,,,,,Gulfstream,G450,2014,
2012 Gulfstream G450,,,,,Gulfstream,G450,2012,
2012 Gulfstream G450,,,,,Gulfstream,G450,2012,
2008 Gulfstream G450,,,,,Gulfstream,G450,2008,
2008 Gulfstream G450,,,,,Gulfstream,G450,2008,
2010 Gulfstream G450,,,,,Gulfstream,G450,2010,
2006 Gulfstream G450,,,,,Gulfstream,G450,2006,
1994 Gulfstream IVSP,,,,,Gulfstream,IVSP,1994,
2011 Gulfstream G450,,,,,Gulfstream,G450,2011,
2004 Gulfstream G400,,,,,Gulfstream,,2004,
1995 Gulfstream IVSP,,,,,Gulfstream,IVSP,1995,
2008 Gulfstream G450,,,,,Gulfstream,G450,2008,
2013 Gulfstream G450,,,,,Gulfstream,G450,2013,
2009 Gulfstream G450,,,,,Gulfstream,G450,2009,
,,,,,,,,
2013 Gulfstream G450,,,,,Gulfstream,G450,2013,
1986 Gulfstream III,,,,,Gulfstream,III,1986,
2009 Gulfstream G450,,,,,Gulfstream,G450,2009,
1988 Gulfstream IV,,,,,Gulfstream,IV,1988,
2013 Gulfstream G450,,,,,Gulfstream,G450,2013,
1996 Gulfstream IVSP,,,,,Gulfstream,IVSP,1996,
2012 Gulfstream G450,,,,,Gulfstream,G450,2012,
2017 Gulfstream G450,,,,,Gulfstream,G450,2017,
1998 Gulfstream IVSP,,,,,Gulfstream,IVSP,1998,
1987 Gulfstream IV,,,,,Gulfstream,IV,1987,
1988 Gulfstream IV,,,,,Gulfstream,IV,1988,
2008 Gulfstream G450,,,,,Gulfstream,G450,2008,
2023 Gulfstream G280,,,,,Gulfstream,,,
2013 Gulfstream G450,,,,,Gulfstream,G450,2013,
2006 Gulfstream G450,,,,,Gulfstream,G450,2006,
1994 Gulfstream IVSP,,,,,Gulfstream,IVSP,1994,
1988 Gulfstream IV,,,,,Gulfstream,IV,1988,
2010 Gulfstream G450,,,,,Gulfstream,G450,2010,
2014 Gulfstream G450,,,,9 Hrs.,Gulfstream,G450,2014,
1992 Gulfstream IVSP,,,,,Gulfstream,IVSP,1992,
1999 Gulfstream IVSP,,,,,Gulfstream,IVSP,1999,
2001 Gulfstream IVSP,,,,,Gulfstream,IVSP,2001,
2007 Gulfstream G450,,,,,Gulfstream,G450,2007,
2010 Gulfstream G450,,,,,Gulfstream,G450,2010,
2006 Gulfstream G450,,,,,Gulfstream,G450,2006,
2008 Gulfstream G450,,,,,Gulfstream,G450,2008,
2013 Gulfstream G450,,,,,Gulfstream,G450,2013,
2014 Gulfstream G450,,,,,Gulfstream,G450,2014,
2000 Gulfstream IVSP,,,,,Gulfstream,IVSP,2000,
2002 Gulfstream IVSP,,,,,Gulfstream,IVSP,2002,
1994 Gulfstream IVSP,,,,,Gulfstream,IVSP,1994,
2012 Gulfstream G450,,,,,Gulfstream,G450,2012,
2001 Gulfstream IVSP,,,,,Gulfstream,IVSP,2001,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2014 Gulfstream I,,,,,Gulfstream,,2014,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1983 Gulfstream III,,,,,Gulfstream,III,1983,
1993 Gulfstream G-IV,,,,,Gulfstream,G-IV,1993,
1987 Gulfstream GIV,,,,,Gulfstream,IV,1987,
1990 Gulfstream G-IV,,,,,Gulfstream,G-IV,1990,
1999 Gulfstream G-IVSP,,,,,Gulfstream,G-IVSP,1999,
1992 Gulfstream G-IVSP,,,,,Gulfstream,G-IVSP,1992,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1989 Gulfstream IV,,,,,Gulfstream,IV,1989,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1990 Gulfstream G-IV,,,,,Gulfstream,G-IV,1990,
1991 Gulfstream G-IV,,,,,Gulfstream,G-IV,1991,
,,,,,,,,
2010 Gulfstream G200,,,,,Gulfstream,G200,2010,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1981 Gulfstream GIII,,,,,Gulfstream,III,1981,
,,,,,,,,
,,,,,,,,
2014 Gulfstream I,,,,,Gulfstream,,2014,
2014 Gulfstream E,,,,,Gulfstream,,2014,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1990 Gulfstream GIV-SN,,,,,Gulfstream,IV,1990,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,5500000.0,,,,,
,,,,,,,,
,,,,,,,,
1988 Gulfstream G-IV,,,,,Gulfstream,G-IV,1988,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2013 Gulfstream 450,,,,,Gulfstream,,2013,
,,,,,,,,
,,,,,,,,
,,,,,,,,
8400 Gulfstream IVSP,,,,,Gulfstream,IVSP,,
1999 Gulfstream GIVSP,,,,,Gulfstream,IVSP,1999,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,654 Hrs.,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,3795000.0,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1997 Gulfstream GIV-SP,,,,,Gulfstream,IV,1997,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2013 Gulfstream G450,,,,,Gulfstream,G450,2013,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2001 Gulfstream GIVSP,,,,,Gulfstream,IVSP,2001,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2007 Gulfstream G450,,,,,Gulfstream,G450,2007,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1989 Gulfstream GIV,,,,,Gulfstream,IV,1989,
,,,,,,,,
,,,,,,,,
1987 Gulfstream IVSP,,,,,Gulfstream,IVSP,1987,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1991 Gulfstream GIV,,,,,Gulfstream,IV,1991,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1999 Gulfstream GIV-SP,,,,,Gulfstream,IV,1999,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2003 Gulfstream IV,,,,,Gulfstream,IV,2003,
1991 Gulfstream IV,,,,,Gulfstream,IV,1991,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2000 Gulfstream GIVSP,,,,,Gulfstream,IVSP,2000,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1998 Gulfstream GIVSP,,,,,Gulfstream,IVSP,1998,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
