Model,Registration,TTAF,Price,Engine Hours,manufacture,model,year of manufacture,year_of_manufacture
1999 Gulfstream G-IVSP,N371FP,7440.0,,,Gulfstream,G-IVSP,1999,
2001 Gulfstream G-IVSP,N305CF,4907.0,,,Gulfstream,G-IVSP,2001,
1997 Gulfstream G-IVSP,N333PY,5941.0,3495000.0,,Gulfstream,G-IVSP,1997,
1990 Gulfstream G-IV,N3H,12038.0,2995000.0,,Gulfstream,G-IV,1990,
1994 Gulfstream G-IVSP,N151SD,7093.0,,,Gulfstream,G-IVSP,1994,
2001 Gulfstream G-IVSP,N817ME,2693.0,,,Gulfstream,G-IVSP,2001,
1991 Gulfstream G-IV,N71NE,12961.0,,,Gulfstream,G-IV,1991,
2002 Gulfstream G-IVSP,M,4439.0,6500000.0,,Gulfstream,G-IVSP,2002,
2002 Gulfstream G-IVSP,N400FJ,5024.0,,,Gulfstream,G-IVSP,2002,
2001 Gulfstream G-IVSP,N386JD,4801.0,,,Gulfstream,G-IVSP,2001,
2001 Gulfstream G-IVSP,N5956B,5158.0,,,Gulfstream,G-IVSP,2001,
2008 Gulfstream G450,N717DX,3863.0,,12000 Hrs.,Gulfstream,G450,2008,
1999 Gulfstream G-IVSP,N945GS,7082.0,,,Gulfstream,G-IVSP,1999,
2008 Gulfstream G450,N351TP,3291.0,13795000.0,,Gulfstream,G450,2008,
2001 Gulfstream G-IVSP,N235KK,6213.0,,,Gulfstream,G-IVSP,2001,
1994 Gulfstream G-IVSP,N999NB,6457.0,,,Gulfstream,G-IVSP,1994,
1993 Gulfstream G-IVSP,N888PM,6545.0,,,Gulfstream,G-IVSP,1993,
2000 Gulfstream G-IVSP,N300CR,7476.0,,,Gulfstream,G-IVSP,2000,
1986 Gulfstream G-IV,N710WJ,8366.0,,,Gulfstream,G-IV,1986,
2012 Gulfstream G450,,715.0,,,Gulfstream,G450,2012,
1990 Gulfstream G-IV,N75VB,11570.0,,,Gulfstream,G-IV,1990,
1984 Gulfstream G-III,N357KM,9401.0,750000.0,,Gulfstream,G-III,1984,
2011 Gulfstream G450,N701WC,1923.0,18250000.0,,Gulfstream,G450,2011,
1989 Gulfstream G-IV,N770KS,10789.0,,,Gulfstream,G-IV,1989,
1990 Gulfstream G-IV,N930LS,9180.0,,,Gulfstream,G-IV,1990,
1995 Gulfstream G-IVSP,,8493.0,,,Gulfstream,G-IVSP,1995,
2012 Gulfstream G450,N236FS,2919.0,,,Gulfstream,G450,2012,
1994 Gulfstream G-IVSP,N6PC,9165.0,,,Gulfstream,G-IVSP,1994,
2001 Gulfstream G-IVSP,,4280.0,,,Gulfstream,G-IVSP,2001,
1988 Gulfstream G-IV,N450MS,9990.0,3950000.0,,Gulfstream,G-IV,1988,
1999 Gulfstream G-IVSP,N302SB,6590.0,,,Gulfstream,G-IVSP,1999,
1997 Gulfstream G-IVSP,N44GV,7726.0,,,Gulfstream,G-IVSP,1997,
2007 Gulfstream G450,N717DX,3983.0,12200000.0,,Gulfstream,G450,2007,
1992 Gulfstream G-IVSP,,9420.0,,,Gulfstream,G-IVSP,1992,
1999 Gulfstream G-IVSP,,7900.0,,,Gulfstream,G-IVSP,1999,
1996 Gulfstream G-IVSP,N974JD,8790.0,4750000.0,,Gulfstream,G-IVSP,1996,
1996 Gulfstream G-IVSP,N974JD,8790.0,4750000.0,,Gulfstream,G-IVSP,1996,
2000 Gulfstream G-IVSP,N30JE,5313.0,,,Gulfstream,G-IVSP,2000,
1999 Gulfstream G-IVSP,N945GS,8224.0,5250000.0,,Gulfstream,G-IVSP,1999,
1990 Gulfstream G-IV,N930LS,9277.0,,,Gulfstream,G-IV,1990,
1993 Gulfstream G-IVSP,N257H,8384.0,3900000.0,,Gulfstream,G-IVSP,1993,
1993 Gulfstream G-IVSP,N268VT,14250.0,,,Gulfstream,G-IVSP,1993,
1996 Gulfstream G-IVSP,N925JS,9059.0,3295000.0,,Gulfstream,G-IVSP,1996,
1988 Gulfstream G-IV,N1086,9653.0,3995000.0,,Gulfstream,G-IV,1988,
1997 Gulfstream G-IVSP,N137WS,7609.0,4595000.0,,Gulfstream,G-IVSP,1997,
2011 Gulfstream G450,N175BL,2118.0,,,Gulfstream,G450,2011,
2013 Gulfstream G450,N440MB,1750.0,,,Gulfstream,G450,2013,
1999 Gulfstream G-IVSP,N4818C,6255.0,,,Gulfstream,G-IVSP,1999,
1992 Gulfstream G-IVSP,N315MK,9757.0,,,Gulfstream,G-IVSP,1992,
2000 Gulfstream G-IV,N702TY,7255.0,,,Gulfstream,G-IV,2000,
1988 Gulfstream G-IV,N515JA,16016.0,,,Gulfstream,G-IV,1988,
1999 Gulfstream G-IVSP,N945GS,8564.0,,,Gulfstream,G-IVSP,1999,
1990 Gulfstream G-IV,N41SC,8219.0,,,Gulfstream,G-IV,1990,
1990 Gulfstream G-IV,N820MS,8904.0,3495000.0,,Gulfstream,G-IV,1990,
1988 Gulfstream G-IV,N21FJ,8980.0,,,Gulfstream,G-IV,1988,
1991 Gulfstream G-IV,N600CK,10641.0,2250000.0,6451 Hrs.,Gulfstream,G-IV,1991,
1987 Gulfstream G-IV,N772AV,9546.0,,,Gulfstream,G-IV,1987,
2001 Gulfstream G-IVSP,N551CB,5559.0,5950000.0,,Gulfstream,G-IVSP,2001,
1999 Gulfstream G-IVSP,N707TE,9260.0,,,Gulfstream,G-IVSP,1999,
2002 Gulfstream G-IVSP,VP,4002.0,,,Gulfstream,G-IVSP,2002,
2006 Gulfstream G450,N937BG,3966.0,11380000.0,,Gulfstream,G450,2006,
1994 Gulfstream G-IVSP,N16DJ,4189.0,,,Gulfstream,G-IVSP,1994,
1995 Gulfstream G-IVSP,N30DJ,9059.0,,,Gulfstream,G-IVSP,1995,
1993 Gulfstream G-IVSP,N269VT,14485.0,,,Gulfstream,G-IVSP,1993,
1999 Gulfstream G-IVSP,N30JE,5334.0,,,Gulfstream,G-IVSP,1999,
1999 Gulfstream G-IVSP,N721RL,6185.0,,,Gulfstream,G-IVSP,1999,
1996 Gulfstream G-IVSP,N961V,9700.0,,,Gulfstream,G-IVSP,1996,
2005 Gulfstream G200,N888NS,2796.0,,,Gulfstream,G200,2005,
1993 Gulfstream G-IV,N56L,10873.0,,,Gulfstream,G-IV,1993,
1989 Gulfstream G-IV,N167AA,10210.0,3695000.0,,Gulfstream,G-IV,1989,
1999 Gulfstream G-IVSP,N396NS,9131.0,,,Gulfstream,G-IVSP,1999,
1994 Gulfstream G-IVSP,N999NB,6661.0,,,Gulfstream,G-IVSP,1994,
1999 Gulfstream G-IVSP,N348DJ,6798.0,,,Gulfstream,G-IVSP,1999,
1992 Gulfstream G-IVSP,N315MK,9840.0,,,Gulfstream,G-IVSP,1992,
2000 Gulfstream G-IVSP,N407NS,9788.0,,,Gulfstream,G-IVSP,2000,
1989 Gulfstream G-IV,N13SA,7036.0,1500000.0,,Gulfstream,G-IV,1989,
1993 Gulfstream G-IVSP,N96JA,9504.0,4200000.0,,Gulfstream,G-IVSP,1993,
1990 Gulfstream G-IV,N605CM,11817.0,,,Gulfstream,G-IV,1990,
2005 Gulfstream G200,,5016.0,,,Gulfstream,G200,2005,
2008 Gulfstream G200,,6132.0,,,Gulfstream,G200,2008,
1989 Gulfstream G-IV,,,,,Gulfstream,G-IV,1989,
2000 Gulfstream G-IVSP,N799CP,5349.0,,,Gulfstream,G-IVSP,2000,
1981 Gulfstream G-III,N111FU,10397.0,,,Gulfstream,G-III,1981,
2000 Gulfstream G-IVSP,N450EF,8702.0,5295000.0,,Gulfstream,G-IVSP,2000,
1989 Gulfstream G-IV,XA,9263.0,2750000.0,,Gulfstream,G-IV,1989,
1999 Gulfstream G-IVSP,,,,,Gulfstream,G-IVSP,1999,
1998 Gulfstream G-IVSP,N970KG,5175.0,5395000.0,,Gulfstream,G-IVSP,1998,
1999 Gulfstream G-IVSP,,,,,Gulfstream,G-IVSP,1999,
1999 Gulfstream G-IVSP,N595PE,5978.0,1995000.0,481 Hrs.,Gulfstream,G-IVSP,1999,
2009 Gulfstream G450,N48PL,2793.0,14495000.0,,Gulfstream,G450,2009,
1992 Gulfstream G-IV,N671AF,8181.0,2800000.0,,Gulfstream,G-IV,1992,
1999 Gulfstream G-IVSP,,,,,Gulfstream,G-IVSP,1999,
1990 Gulfstream G-IV,N77WL,13000.0,2100000.0,,Gulfstream,G-IV,1990,
2000 Gulfstream G-IVSP,,,,,Gulfstream,G-IVSP,2000,
1999 Gulfstream G-IVSP,,,,,Gulfstream,G-IVSP,1999,
1996 Gulfstream G-IV,,,,,Gulfstream,G-IV,1996,
1998 Gulfstream G-IVSP,,,,,Gulfstream,G-IVSP,1998,
1996 Gulfstream G-IV,N213EF,,2500000.0,,Gulfstream,G-IV,1996,
1992 Gulfstream G-IV,N102LV,3893.0,,,Gulfstream,G-IV,1992,
2000 Gulfstream G-IVSP,N9106,7548.0,,,Gulfstream,G-IVSP,2000,
2008 Gulfstream G200,N881ST,1576.0,5995000.0,,Gulfstream,G200,2008,
2010 Gulfstream G450,,2604.0,,,Gulfstream,G450,2010,
2010 Gulfstream G450,N555LR,4283.0,,,Gulfstream,G450,2010,
1989 Gulfstream G-IV,N189J,13300.0,2450000.0,,Gulfstream,G-IV,1989,
1984 Gulfstream G-III,N467AM,8907.0,600000.0,,Gulfstream,G-III,1984,
1991 Gulfstream G-IV,XA,8703.0,,,Gulfstream,G-IV,1991,
1994 Gulfstream G-IVSP,N700MV,12050.0,3000000.0,,Gulfstream,G-IVSP,1994,
2008 Gulfstream G450,N59AP,2072.0,,,Gulfstream,G450,2008,
1987 Gulfstream G-IV,N772AV,9546.0,,,Gulfstream,G-IV,1987,
2008 Gulfstream G450,N59AP,2072.0,11900000.0,,Gulfstream,G450,2008,
2002 Gulfstream G-IVSP,N154C,6832.0,5600000.0,,Gulfstream,G-IVSP,2002,
2006 Gulfstream G450,N450KR,3922.0,,,Gulfstream,G450,2006,
2012 Gulfstream G450,,3726.0,,,Gulfstream,G450,2012,
1996 Gulfstream G-IVSP,N999AA,10725.0,,,Gulfstream,G-IVSP,1996,
1999 Gulfstream G-IVSP,N489VR,14202.0,3395000.0,,Gulfstream,G-IVSP,1999,
1987 Gulfstream G-IV,N929SD,12862.0,3950000.0,,Gulfstream,G-IV,1987,
1993 Gulfstream G-IVSP,N874C,13380.0,,,Gulfstream,G-IVSP,1993,
1989 Gulfstream G-IV,N763DB,13535.0,,,Gulfstream,G-IV,1989,
1999 Gulfstream G-IVSP,N595PB,5978.0,,,Gulfstream,G-IVSP,1999,
2001 Gulfstream G-IVSP,N357PR,2903.0,,,Gulfstream,G-IVSP,2001,
2014 Gulfstream G450,C,1551.0,14950000.0,,Gulfstream,G450,2014,
1997 Gulfstream G-IVSP,N850LF,9570.0,,,Gulfstream,G-IVSP,1997,
1991 Gulfstream G-IV,N218KD,9535.0,,,Gulfstream,G-IV,1991,
2001 Gulfstream G-IVSP,N950LG,8129.0,,,Gulfstream,G-IVSP,2001,
1991 Gulfstream G-IV,N917W,15657.0,,,Gulfstream,G-IV,1991,
2000 Gulfstream G-IVSP,N724DB,5848.0,6500000.0,,Gulfstream,G-IVSP,2000,
2000 Gulfstream G-IVSP,N991NB,5174.0,,,Gulfstream,G-IVSP,2000,
1997 Gulfstream G-IVSP,N1LW,8606.0,,,Gulfstream,G-IVSP,1997,
1992 Gulfstream G-IVSP,N110SN,11292.0,,,Gulfstream,G-IVSP,1992,
1988 Gulfstream G-IV,N48GL,13281.0,,,Gulfstream,G-IV,1988,
2000 Gulfstream G-IVSP,N450EF,9639.0,,,Gulfstream,G-IVSP,2000,
1996 Gulfstream G-IVSP,N526EE,13960.0,,,Gulfstream,G-IVSP,1996,
1999 Gulfstream G-IVSP,N489VR,14202.0,,,Gulfstream,G-IVSP,1999,
1987 Gulfstream G-IV,N772AV,9546.0,,,Gulfstream,G-IV,1987,
2002 Gulfstream G-IVSP,,9456.0,,,Gulfstream,G-IVSP,2002,
1990 Gulfstream G-IV,N18TD,8053.0,,,Gulfstream,G-IV,1990,
1995 Gulfstream G-IVSP,N432HC,15651.0,2295000.0,654 Hrs.,Gulfstream,G-IVSP,1995,
1988 Gulfstream G-IV,N177BB,17202.0,,,Gulfstream,G-IV,1988,
1995 Gulfstream G-IVSP,,10737.0,,,Gulfstream,G-IVSP,1995,
1992 Gulfstream G-IV,N403TB,10728.0,3450000.0,,Gulfstream,G-IV,1992,
1999 Gulfstream G-IVSP,N616RR,8420.0,4750000.0,,Gulfstream,G-IVSP,1999,
1990 Gulfstream G-IV,N41SC,8274.0,,,Gulfstream,G-IV,1990,
1997 Gulfstream G-IVSP,N999SE,8240.0,,,Gulfstream,G-IVSP,1997,
2014 Gulfstream G450,C,1551.0,,,Gulfstream,G450,2014,
2006 Gulfstream G450,N121GZ,6623.0,,,Gulfstream,G450,2006,
1988 Gulfstream G-IV,N41ZA,5094.0,,,Gulfstream,G-IV,1988,
1995 Gulfstream G-IVSP,N267LG,10750.0,,,Gulfstream,G-IVSP,1995,
1998 Gulfstream G-IVSP,N396U,8065.0,,,Gulfstream,G-IVSP,1998,
1987 Gulfstream G-IV,N76EJ,9733.0,,2933 Hrs.,Gulfstream,G-IV,1987,
1994 Gulfstream G-IVSP,N1904W,11766.0,,,Gulfstream,G-IVSP,1994,
1993 Gulfstream G-IVSP,N510SP,11847.0,2550000.0,,Gulfstream,G-IVSP,1993,
1989 Gulfstream G-IV,N457DS,7565.0,2300000.0,,Gulfstream,G-IV,1989,
1999 Gulfstream G-IVSP,N480VR,13937.0,,,Gulfstream,G-IVSP,1999,
1995 Gulfstream G-IVSP,N445BJ,10779.0,,,Gulfstream,G-IVSP,1995,
2001 Gulfstream G-IVSP,N386JD,5868.0,,,Gulfstream,G-IVSP,2001,
2008 Gulfstream G450,T7,4557.0,,,Gulfstream,G450,2008,
1997 Gulfstream G-IVSP,N905LP,8090.0,,,Gulfstream,G-IVSP,1997,
1999 Gulfstream G-IVSP,N302SB,7876.0,,,Gulfstream,G-IVSP,1999,
1989 Gulfstream G-IV,XA,9599.0,,,Gulfstream,G-IV,1989,
1987 Gulfstream G-IV,N818BA,9866.0,,,Gulfstream,G-IV,1987,
2010 Gulfstream G450,N945MM,3743.0,,,Gulfstream,G450,2010,
2001 Gulfstream G-IVSP,N445SC,6769.0,,,Gulfstream,G-IVSP,2001,
1997 Gulfstream G-IVSP,N910AF,7635.0,,,Gulfstream,G-IVSP,1997,
1996 Gulfstream G-IVSP,N974JD,9151.0,3795000.0,,Gulfstream,G-IVSP,1996,
2001 Gulfstream G-IVSP,N207AA,6270.0,,,Gulfstream,G-IVSP,2001,
2000 Gulfstream G-IVSP,,6147.0,,,Gulfstream,G-IVSP,2000,
2001 Gulfstream G-IVSP,N119FM,7418.0,,,Gulfstream,G-IVSP,2001,
1988 Gulfstream G-IV,N200LC,9925.0,,,Gulfstream,G-IV,1988,
1991 Gulfstream G-IV,N917W,15657.0,2525000.0,,Gulfstream,G-IV,1991,
2001 Gulfstream G-IVSP,N474X,8223.0,,,Gulfstream,G-IVSP,2001,
1988 Gulfstream G-IV,N794MH,14670.0,,,Gulfstream,G-IV,1988,
2015 Gulfstream G450,N169TA,856.0,,,Gulfstream,G450,2015,
1988 Gulfstream G-IV,N823LF,7037.0,3995000.0,,Gulfstream,G-IV,1988,
1990 Gulfstream G-IV,N306TT,6425.0,,,Gulfstream,G-IV,1990,
2002 Gulfstream G-IVSP,N606PS,10028.0,,,Gulfstream,G-IVSP,2002,
1994 Gulfstream G-IVSP,N400JZ,10192.0,,,Gulfstream,G-IVSP,1994,
1995 Gulfstream G-IVSP,N5GF,5915.0,,,Gulfstream,G-IVSP,1995,
1999 Gulfstream G-IVSP,N371FP,9324.0,,,Gulfstream,G-IVSP,1999,
1992 Gulfstream G-IVSP,N110SN,11795.0,,,Gulfstream,G-IVSP,1992,
1996 Gulfstream G-IVSP,7Q,14255.0,,487 Hrs.,Gulfstream,G-IVSP,1996,
2009 Gulfstream G450,N735HC,3950.0,,,Gulfstream,G450,2009,
1992 Gulfstream G-IVSP,N999AH,9554.0,,,Gulfstream,G-IVSP,1992,
1995 Gulfstream G-IVSP,N445BJ,11055.0,,,Gulfstream,G-IVSP,1995,
